ID,name,link,summit,drop,beginner runs,intermediate runs,advanced runs,expert runs,state
25,Mt. Hood Skibowl,https://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html,5100ft,1500ft,14,28,17,10,oregon
26,Lost Valley,https://www.onthesnow.com/maine/lost-valley/ski-resort.html,495ft,240ft,8,9,8,6,maine
27,Schweitzer,https://www.onthesnow.com/idaho/schweitzer/ski-resort.html,6400ft,2400ft,9,37,32,14,idaho
28,Silver Mountain,https://www.onthesnow.com/idaho/silver-mountain/ski-resort.html,6300ft,2200ft,16,32,24,8,idaho
29,Sierra-at-Tahoe,https://www.onthesnow.com/california/sierra-at-tahoe/ski-resort.html,8852ft,2212ft,12,24,12,0,california
30,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort.html,9350ft,2900ft,7,40,50,10,utah
31,Appalachian Ski Mountain,https://www.onthesnow.com/north-carolina/appalachian-ski-mtn/ski-resort.html,4000ft,365ft,3,6,3,0,north-carolina
32,Boreal Mountain Resort,https://www.onthesnow.com/california/boreal/ski-resort.html,7700ft,500ft,9,10,15,0,california
33,Pomerelle Mountain Resort,https://www.onthesnow.com/idaho/pomerelle-mountain-resort/ski-resort.html,9000ft,1000ft,10,10,5,0,idaho
34,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort.html,11000ft,3240ft,11,35,60,34,utah
35,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort.html,11166ft,4350ft,48,79,133,57,montana
36,Cataloochee Ski Area,https://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html,5400ft,740ft,8,7,0,3,north-carolina
37,Homewood Mountain Resort,https://www.onthesnow.com/california/homewood-mountain-resort/ski-resort.html,7880ft,1650ft,9,31,24,3,california
38,Soda Springs,https://www.onthesnow.com/california/soda-springs/ski-resort.html,7352ft,652ft,11,3,6,0,california
39,Sugar Mountain Resort,https://www.onthesnow.com/north-carolina/sugar-mountain-resort/ski-resort.html,5300ft,1200ft,7,11,2,1,north-carolina
40,Tamarack Resort,https://www.onthesnow.com/idaho/tamarack-resort/ski-resort.html,7700ft,2800ft,10,17,21,0,idaho
41,Brighton Resort,https://www.onthesnow.com/utah/brighton-resort/ski-resort.html,10500ft,1745ft,14,26,16,10,utah
42,Bogus Basin,https://www.onthesnow.com/idaho/bogus-basin/ski-resort.html,7582ft,1800ft,8,41,23,10,idaho
43,Montana Snowbowl,https://www.onthesnow.com/montana/montana-snowbowl/ski-resort.html,7600ft,2600ft,7,15,15,0,montana
44,Park City,https://www.onthesnow.com/utah/park-city-mountain-resort/ski-resort.html,10026ft,3226ft,27,140,95,78,utah
45,Beech Mountain Resort,https://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html,5506ft,830ft,5,7,5,0,north-carolina
46,Toggenburg Mountain,https://www.onthesnow.com/new-york/toggenburg-mountain/ski-resort.html,2000ft,700ft,7,7,7,0,new-york
47,Willamette Pass,https://www.onthesnow.com/oregon/willamette-pass/ski-resort.html,6683ft,1563ft,6,13,3,7,oregon
48,Pebble Creek Ski Area,https://www.onthesnow.com/idaho/pebble-creek-ski-area/ski-resort.html,8560ft,2200ft,6,19,23,5,idaho
49,Sapphire Valley,https://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html,3450ft,250ft,1,1,0,0,north-carolina
50,Mt. Rose - Ski Tahoe,https://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html,9700ft,1800ft,13,20,26,6,nevada
51,Powder Mountain,https://www.onthesnow.com/utah/powder-mountain/ski-resort.html,9422ft,2522ft,38,62,54,0,utah
52,Steamboat,https://www.onthesnow.com/colorado/steamboat/ski-resort.html,10568ft,3668ft,24,71,74,0,colorado
53,Shawnee Mountain Ski Area,https://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html,1350ft,700ft,6,11,6,0,pennsylvania
54,Mount Peter Ski Area,https://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html,1250ft,450ft,7,6,5,0,new-york
55,Solitude Mountain Resort,https://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort.html,10488ft,2494ft,5,35,25,17,utah
56,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort.html,4083ft,2600ft,26,47,30,8,vermont
57,Wachusett Mountain Ski Area,https://www.onthesnow.com/massachusetts/wachusett-mountain-ski-area/ski-resort.html,2006ft,1000ft,5,17,5,0,massachusetts
58,Sleeping Giant Ski Resort,https://www.onthesnow.com/wyoming/sleeping-giant-ski-resort/ski-resort.html,7428ft,810ft,7,18,17,6,wyoming
59,Bear Valley,https://www.onthesnow.com/california/bear-valley/ski-resort.html,8500ft,1900ft,6,23,25,2,california
60,Beaver Mountain,https://www.onthesnow.com/utah/beaver-mountain/ski-resort.html,8860ft,1600ft,17,19,12,0,utah
61,Diamond Peak,https://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,8540ft,1840ft,5,14,11,0,nevada
62,Heavenly,https://www.onthesnow.com/california/heavenly-mountain-resort/ski-resort.html,10067ft,3500ft,8,60,24,5,california
63,Maverick Mountain,https://www.onthesnow.com/montana/maverick-mountain/ski-resort.html,8520ft,2020ft,7,9,7,0,montana
64,Silverton Mountain,https://www.onthesnow.com/colorado/silverton-mountain/ski-resort.html,13487ft,3087ft,0,0,0,69,colorado
65,Kelly Canyon Ski Area,https://www.onthesnow.com/idaho/kelly-canyon-ski-area/ski-resort.html,6600ft,1000ft,18,23,10,0,idaho
66,Northstar California,https://www.onthesnow.com/california/northstar-california/ski-resort.html,8610ft,2280ft,13,60,27,0,california
67,Holiday Valley,https://www.onthesnow.com/new-york/holiday-valley/ski-resort.html,2250ft,750ft,22,15,22,1,new-york
68,Ober Gatlinburg Ski Resort,https://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html,3300ft,600ft,2,6,2,0,tennessee
69,Bridger Bowl,https://www.onthesnow.com/montana/bridger-bowl/ski-resort.html,8700ft,2600ft,13,29,19,44,montana
70,Mt. Ashland,https://www.onthesnow.com/oregon/mount-ashland/ski-resort.html,7533ft,1150ft,5,18,16,5,oregon
71,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort.html,12481ft,3281ft,15,18,33,44,new-mexico
72,Kirkwood,https://www.onthesnow.com/california/kirkwood/ski-resort.html,9800ft,2000ft,10,26,32,17,california
73,Wolf Ridge Ski Resort,https://www.onthesnow.com/north-carolina/wolf-ridge-ski-resort/ski-resort.html,4700ft,720ft,4,9,2,0,north-carolina
74,Buffalo Ski Club Ski Area,https://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html,3429ft,500ft,9,20,15,0,new-york
75,Bear Mountain,https://www.onthesnow.com/california/bear-mountain/ski-resort.html,8805ft,1665ft,3,5,5,2,california
76,Blue Mountain Resort,https://www.onthesnow.com/pennsylvania/blue-mountain-ski-area/ski-resort.html,1600ft,1082ft,16,6,14,4,pennsylvania
77,Bristol Mountain,https://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html,2200ft,1200ft,12,15,7,0,new-york
78,Bryce Resort,https://www.onthesnow.com/virginia/bryce-resort/ski-resort.html,1750ft,500ft,3,4,1,0,virginia
79,Campgaw Mountain,https://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html,726ft,274ft,4,4,3,1,new-jersey
80,Discovery Ski Area,https://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,8150ft,2380ft,15,18,18,22,montana
